movie_id,title,original_title,release_year,genres,vote_average,vote_count,log_vote_count,popularity,release_date,production_budget,domestic_gross,worldwide_gross,roi,release_month
tt6360394,Jack of all Trades,Jack of all Trades,2018.0,documentary,6.6,100.0,4.61512051684126,,2018-07-01,,,,,7.0
tt3833520,Jack of the Red Hearts,Jack of the Red Hearts,2015.0,"drama,family",7.2,1662.0,7.416378479192928,4.618,2015-07-01,,,,,7.0
tt6343596,Jack vs Lanterns,Jack vs Lanterns,2017.0,sci-fi,3.3,18.0,2.9444389791664403,,2017-07-01,,,,,7.0
tt3769594,Jack's Apocalypse,Jack's Apocalypse,2015.0,"fantasy,sci-fi,thriller",6.4,574.0,6.354370040797351,,2015-07-01,,,,,7.0
tt3415398,JackRabbit 29,JackRabbit 29,2017.0,drama,9.0,8.0,2.1972245773362196,,2017-07-01,,,,,7.0
tt8050582,Jackal Stories,Cuentos de chacales,2017.0,documentary,8.0,5.0,1.791759469228055,,2017-07-01,,,,,7.0
tt6104206,Jackals,Jackals,2017.0,"horror,thriller",5.3,3334.0,8.112227958349724,5.864,2017-07-01,,,,,7.0
tt1619029,Jackie,Jackie,2016.0,"biography,drama,history",6.7,66008.0,11.097546375348252,8.819,2016-07-01,9000000.0,13960394.0,36588512.0,3.0653902222222222,7.0
tt3205714,Jackie Boy,Jackie Boy,2015.0,drama,5.4,109.0,4.700480365792417,,2015-07-01,,,,,7.0
tt4838422,Jackie Chan Presents: Amnesia,Wo shi shei 2015,2015.0,"action,adventure,drama",4.7,81.0,4.406719247264253,,2015-07-01,,,,,7.0
tt4320966,Jackpot,Trung so,2015.0,comedy,6.7,55.0,4.02535169073515,2.864,2015-07-01,400000.0,44452.0,44452.0,-0.88887,7.0
tt8671762,Jackpot,Jackpot,2018.0,"comedy,romance",7.8,18.0,2.9444389791664403,2.864,2018-07-01,400000.0,44452.0,44452.0,-0.88887,7.0
tt3975556,Jackrabbit,Jackrabbit,2015.0,"drama,sci-fi,thriller",4.6,382.0,5.948034989180646,1.872,2015-07-01,,,,,7.0
tt4421572,Jackson,Jackson,2015.0,"drama,romance",4.9,14.0,2.70805020110221,,2015-07-01,,,,,7.0
tt5069136,Jackson,Jackson,2016.0,documentary,7.3,120.0,4.795790545596741,,2016-07-01,,,,,7.0
tt0850678,Jackson Arms,Jackson Arms,2015.0,romance,6.1,15.0,2.772588722239781,,2015-07-01,,,,,7.0
tt4795624,Jackson Bolt,Jackson Bolt,2018.0,action,4.2,55.0,4.02535169073515,,2018-07-01,,,,,7.0
tt4642386,Jackson Durai,Jackson Durai,2016.0,"comedy,horror",4.5,150.0,5.017279836814924,,2016-07-01,,,,,7.0
tt2385115,Jaco,Jaco,2015.0,"biography,documentary,drama",7.6,836.0,6.729824070489475,1.4,2015-07-01,,,,,7.0
tt6607558,Jacob Sartorius: Life on the Road,Jacob Sartorius: Life on the Road,2017.0,"adventure,music",5.3,31.0,3.4657359027997265,,2017-07-01,,,,,7.0
tt5376232,Jacob's Kingdom of Heaven,Jacobinte Swargarajyam,2016.0,"biography,drama,family",7.6,1835.0,7.515344571180436,,2016-07-01,,,,,7.0
tt8308072,"Jacob, Mimmi and the Talking Dogs","Jekabs, Mimmi un runajosie suni",2019.0,"adventure,animation,family",8.5,26.0,3.295836866004329,,2019-07-01,,,,,7.0
tt4734132,Jacqueline Argentine,Jacqueline Argentine,2016.0,"comedy,drama,thriller",6.3,91.0,4.5217885770490405,,2016-07-01,,,,,7.0
tt8714308,Jacqueline Comes Home: The Chiong Story,Jacqueline Comes Home: The Chiong Story,2018.0,drama,2.4,43.0,3.784189633918261,,2018-07-01,,,,,7.0
tt4653900,Jade Miners,Wa yu shi de ren,2015.0,documentary,5.7,13.0,2.639057329615259,,2015-07-01,,,,,7.0
tt4519680,Jadoogadu,Jadoogadu,2015.0,action,5.6,70.0,4.2626798770413155,,2015-07-01,,,,,7.0
tt5123332,Jaga Hatare Pagha,Jaga Hatare Pagha,2015.0,"action,drama",4.9,11.0,2.4849066497880004,,2015-07-01,,,,,7.0
tt9125746,Jaga Pocong,Jaga Pocong,2018.0,horror,7.0,63.0,4.1588830833596715,,2018-07-01,,,,,7.0
tt5143450,Jagat,Jagat,2015.0,"crime,drama,family",7.7,96.0,4.574710978503383,,2015-07-01,,,,,7.0
tt6980984,Jaget,Jaget,2017.0,"horror,thriller",6.7,15.0,2.772588722239781,,2017-07-01,,,,,7.0
tt4129428,Jagga Jasoos,Jagga Jasoos,2017.0,"action,adventure,comedy",6.4,7931.0,8.978660489639687,3.391,2017-07-01,,,,,7.0
tt7378348,Jagga Jiunda E,Jagga Jiunda E,2018.0,drama,5.7,18.0,2.9444389791664403,,2018-07-01,,,,,7.0
tt5701116,Jaggu Dada,Jaggu Dada,2016.0,"comedy,romance",6.4,521.0,6.257667587882639,,2016-07-01,,,,,7.0
tt5141686,Jago: A Life Underwater,Jago: A Life Underwater,2015.0,documentary,7.5,854.0,6.75110146893676,1.024,2015-07-01,,,,,7.0
tt5725036,Jagoan Instan,Jagoan Instan,2016.0,comedy,5.3,15.0,2.772588722239781,,2016-07-01,,,,,7.0
tt6024364,Jaguar,Jaguar,2016.0,action,5.8,202.0,5.313205979041787,,2016-07-01,,,,,7.0
tt6616788,Jaha's Promise,Jaha's Promise,2017.0,documentary,8.5,32.0,3.4965075614664802,,2017-07-01,,,,,7.0
tt5596962,Jahilya,Jahilya,2018.0,drama,5.0,21.0,3.091042453358316,,2018-07-01,,,,,7.0
tt6055012,Jai Alai Blues,Jai Alai Blues,2016.0,documentary,8.6,5.0,1.791759469228055,,2016-07-01,,,,,7.0
tt8289002,Jai Bhole,Jai Bhole,2018.0,comedy,6.3,19.0,2.995732273553991,,2018-07-01,,,,,7.0
tt4979082,Jai Gangaajal,Jai Gangaajal,2016.0,"crime,drama",5.7,2272.0,7.728855823852543,,2016-07-01,,,,,7.0
tt4567602,Jai Ho! Democracy,Jai Ho! Democracy,2015.0,"comedy,war",5.2,52.0,3.970291913552122,,2015-07-01,,,,,7.0
tt2872050,Jai Jawaan Jai Kisaan,Jai Jawaan Jai Kisaan,2015.0,"biography,drama,history",5.4,24.0,3.2188758248682006,,2015-07-01,,,,,7.0
tt6861726,Jai Lava Kusa,Jai Lava Kusa,2017.0,"action,drama",7.2,4499.0,8.411832675758411,,2017-07-01,,,,,7.0
tt5544430,Jai Maruthi 800,Jai Maruthi 800,2016.0,"comedy,drama",7.4,41.0,3.7376696182833684,,2016-07-01,,,,,7.0
tt7756494,Jai Simha,Jai Simha,2018.0,"action,drama",4.9,434.0,6.075346031088684,,2018-07-01,,,,,7.0
tt7076668,Jailangkung,Jailangkung,2017.0,horror,3.7,189.0,5.247024072160486,,2017-07-01,,,,,7.0
tt8512372,Jailangkung 2,Jailangkung 2,2018.0,horror,4.8,80.0,4.394449154672439,,2018-07-01,,,,,7.0
tt6416676,Jailbait,Em chua 18,2017.0,"comedy,drama,romance",6.6,347.0,5.8522024797744745,5.878,2017-07-01,,,,,7.0
tt4466928,Jailbirds,La taularde,2015.0,drama,6.2,253.0,5.537334267018537,,2015-07-01,,,,,7.0
tt5741304,Jailbreak,Jailbreak,2017.0,"action,comedy",5.5,945.0,6.852242569051878,,2017-07-01,,,,,7.0
tt6792126,Jak se mori revizori,Jak se mori revizori,2018.0,comedy,1.0,5.0,1.791759469228055,,2018-07-01,,,,,7.0
tt6449674,Jak uratowac mame,Jak uratowac mame,2016.0,"adventure,animation,family",4.1,8.0,2.1972245773362196,,2016-07-01,,,,,7.0
tt7420676,Jake,Jake,2017.0,horror,2.9,61.0,4.127134385045092,,2017-07-01,,,,,7.0
tt4697944,Jake and the Giants,Jake and the Giants,2015.0,animation,7.3,429.0,6.063785208687608,,2015-07-01,,,,,7.0
tt2545936,Jake's Road,Jake's Road,2017.0,"action,horror,thriller",4.1,178.0,5.187385805840755,,2017-07-01,,,,,7.0
tt10127628,Jakkanna,Jakkanna,2016.0,"comedy,drama",7.0,24.0,3.2188758248682006,,2016-07-01,,,,,7.0
tt3460084,Jalaibee,Jalaibee,2015.0,"action,crime,thriller",6.7,916.0,6.821107472256465,,2015-07-01,,,,,7.0
tt5298910,Jalam,Jalam,2016.0,drama,6.3,7.0,2.0794415416798357,,2016-07-01,,,,,7.0
tt4799656,Jalan Puncak Alam,Jalan Puncak Alam,2015.0,horror,3.4,5.0,1.791759469228055,,2015-07-01,,,,,7.0
tt8426854,Jalebi,Jalebi,2018.0,drama,6.3,1328.0,7.192182058713246,,2018-07-01,,,,,7.0
tt7156144,Jalouse,Jalouse,2017.0,"comedy,drama",6.2,798.0,6.683360945766275,,2017-07-01,,,,,7.0
tt9238590,Jam,Jam,2018.0,"drama,music",7.5,15.0,2.772588722239781,,2018-07-01,,,,,7.0
tt4701578,Jamai 420,Jamai 420,2015.0,"comedy,romance",4.8,131.0,4.882801922586371,,2015-07-01,,,,,7.0
tt7752858,Jamaica,Jamaica,2017.0,comedy,7.3,472.0,6.159095388491933,,2017-07-01,,,,,7.0
tt3839884,Jamaica Man,Jamaica Man,2017.0,documentary,9.0,9.0,2.302585092994046,,2017-07-01,,,,,7.0
tt3629834,Jamaican Mafia,Jamaican Mafia,2015.0,crime,6.5,77.0,4.356708826689592,,2015-07-01,,,,,7.0
tt4741376,Jamais contente,Jamais contente,2016.0,drama,6.0,225.0,5.420534999272286,,2016-07-01,,,,,7.0
tt8071688,Jamba Lakidi Pamba,Jamba Lakidi Pamba,2018.0,"comedy,fantasy",7.6,758.0,6.6320017773956295,,2018-07-01,,,,,7.0
tt4896340,James Bond,James Bond,2015.0,"action,comedy",5.5,151.0,5.0238805208462765,,2015-07-01,,,,,7.0
tt4288636,James White,James White,2015.0,drama,7.1,5230.0,8.562357743370612,5.647,2015-07-01,,,,,7.0
tt5356300,James and Alice,James and Alice,2016.0,"drama,family",6.5,547.0,6.306275286948016,,2016-07-01,,,,,7.0
tt4951974,Jamil a Flying Soul,Jamil a Flying Soul,2015.0,documentary,8.2,10.0,2.3978952727983707,,2015-07-01,,,,,7.0
tt8228894,Jamilia,Djamilia,2018.0,documentary,6.5,17.0,2.8903717578961645,,2018-07-01,,,,,7.0
tt4974192,Jamna Pyari,Jamna Pyari,2015.0,"comedy,drama",4.6,233.0,5.455321115357702,,2015-07-01,,,,,7.0
tt8443592,Jan Palach,Jan Palach,2018.0,biography,6.7,172.0,5.153291594497779,,2018-07-01,,,,,7.0
tt5540608,Jana,Jana,2018.0,thriller,7.4,16.0,2.833213344056216,,2018-07-01,,,,,7.0
tt8775250,Janaadhipan,Janaadhipan,2019.0,"drama,thriller",7.0,20.0,3.044522437723423,,2019-07-01,,,,,7.0
tt5960464,Janaan,Janaan,2016.0,"drama,musical,romance",7.2,1272.0,7.149131598557407,,2016-07-01,,,,,7.0
tt3600550,Janara,Janara,2015.0,thriller,5.6,54.0,4.007333185232471,,2015-07-01,,,,,7.0
tt3916754,Janda Pai Kapiraju,Janda Pai Kapiraju,2015.0,"action,thriller",6.4,152.0,5.030437921392435,,2015-07-01,,,,,7.0
tt7207238,Jane,Jane,2017.0,"biography,documentary",7.8,3018.0,8.012680929706839,4.494,2017-07-01,,,,,7.0
tt7317404,Jane,Jane,2016.0,drama,6.6,35.0,3.58351893845611,4.494,2016-07-01,,,,,7.0
tt2140037,Jane Got a Gun,Jane Got a Gun,2015.0,"action,drama,western",5.9,19051.0,9.854927361920751,8.825,2015-07-01,25000000.0,1513793.0,3771345.0,-0.8491462,7.0
tt3302654,Jane Wants a Boyfriend,Jane Wants a Boyfriend,2015.0,"comedy,drama,romance",6.8,1823.0,7.508787170634276,1.791,2015-07-01,,,,,7.0
tt8581198,Jane and Emma,Jane and Emma,2018.0,drama,7.0,95.0,4.564348191467836,,2018-07-01,,,,,7.0
tt4020692,Jane and the House of Miracles,Jane and the House of Miracles,2016.0,drama,6.7,9.0,2.302585092994046,,2016-07-01,,,,,7.0
tt8343642,Janelle Monáe: Dirty Computer,Janelle Monáe: Dirty Computer,2018.0,music,7.6,539.0,6.29156913955832,,2018-07-01,,,,,7.0
tt7019560,Janes Addiction Ritual De Lo Habitual Alive at Twenty Five,Janes Addiction Ritual De Lo Habitual Alive at Twenty Five,2017.0,music,8.2,8.0,2.1972245773362196,,2017-07-01,,,,,7.0
tt4278050,Janey Makes a Play,Janey Makes a Play,2015.0,"biography,documentary",8.4,15.0,2.772588722239781,,2015-07-01,,,,,7.0
tt5294880,Jango,Jango,2016.0,mystery,2.4,7.0,2.0794415416798357,,2016-07-01,,,,,7.0
tt7256592,Jani,Jani,2017.0,comedy,3.3,7.0,2.0794415416798357,,2017-07-01,,,,,7.0
tt3707114,Janis: Little Girl Blue,Janis: Little Girl Blue,2015.0,"biography,documentary,music",7.4,4485.0,8.408716715080153,5.09,2015-07-01,,,,,7.0
tt2749796,Janitors,Janitors,2016.0,comedy,7.9,11.0,2.4849066497880004,,2016-07-01,,,,,7.0
tt3919008,Janiva,Janiva,2015.0,drama,6.1,17.0,2.8903717578961645,,2015-07-01,,,,,7.0
tt8843162,Jannat,Jannat,2018.0,"crime,drama",7.4,9.0,2.302585092994046,,2018-07-01,,,,,7.0
tt6190346,Jannat E Milan,Jannat E Milan,2018.0,musical,2.8,6.0,1.9459101490553132,,2018-07-01,,,,,7.0
tt4841640,Janoskians: Untold and Untrue,Janoskians: Untold and Untrue,2015.0,comedy,5.0,136.0,4.919980925828125,,2015-07-01,,,,,7.0
tt5286900,Janus,Janus,2015.0,drama,5.9,54.0,4.007333185232471,,2015-07-01,,,,,7.0
tt5032504,Japan in Nagaland,Japan in Nagaland,2015.0,documentary,8.8,5.0,1.791759469228055,,2015-07-01,,,,,7.0
tt9466960,Japan's Secret Shame,Japan's Secret Shame,2018.0,documentary,8.2,19.0,2.995732273553991,,2018-07-01,,,,,7.0
tt4043906,Jarilike,Jarilike,2016.0,fantasy,8.9,29.0,3.4011973816621555,,2016-07-01,,,,,7.0
tt7968500,Jarugandi,Jarugandi,2018.0,"comedy,drama",5.8,77.0,4.356708826689592,,2018-07-01,,,,,7.0
tt5355524,Jasenovac: Istina,Jasenovac: Istina,2016.0,documentary,4.0,39.0,3.6888794541139363,,2016-07-01,,,,,7.0
tt7901572,Jashne Deltangi,Jashne Deltangi,2018.0,"drama,romance",5.0,109.0,4.700480365792417,,2018-07-01,,,,,7.0
