movie_id,title,original_title,release_year,genres,vote_average,vote_count,log_vote_count,popularity,release_date,production_budget,domestic_gross,worldwide_gross,roi,release_month,release_month_name,main_genre
tt1860357,Deepwater Horizon,Deepwater Horizon,2016.0,"action,drama,history",7.1,133303.0,11.800387513218459,13.685,2016-07-01,156000000.0,61433527.0,122603824.0,-0.2140780512820513,7.0,Jul,action
tt1841642,Demonic,Demonic,2015.0,"horror,thriller",5.3,12025.0,9.394826251599515,6.84,2015-07-01,3000000.0,0.0,4668109.0,0.5560363333333334,7.0,Jul,horror
tt8816388,Demonic,Demonic,2018.0,documentary,5.7,7.0,2.0794415416798357,6.84,2018-07-01,3000000.0,0.0,4668109.0,0.5560363333333334,7.0,Jul,documentary
tt1259528,Den of Thieves,Den of Thieves,2018.0,"action,crime,drama",7.0,69648.0,11.151223621603087,22.738,2018-07-01,30000000.0,44947622.0,80131391.0,1.6710463666666666,7.0,Jul,action
tt4645330,Denial,Denial,2016.0,"biography,drama",6.7,16593.0,9.716796463224231,9.267,2016-07-01,10000000.0,4073448.0,9263940.0,-0.073606,7.0,Jul,biography
tt5897002,Denial,Denial,2016.0,documentary,7.4,25.0,3.258096538021482,9.267,2016-07-01,10000000.0,4073448.0,9263940.0,-0.073606,7.0,Jul,documentary
tt6173644,Derailed,Doo namja,2016.0,"action,crime",6.3,212.0,5.3612921657094255,7.814,2016-07-01,22000000.0,36020063.0,57520063.0,1.614548318181818,7.0,Jul,action
tt3469046,Despicable Me 3,Despicable Me 3,2017.0,"adventure,animation,comedy",6.3,92580.0,11.435839215995927,16.407,2017-07-01,75000000.0,264624300.0,1034727750.0,12.79637,7.0,Jul,adventure
tt7137380,Destroyer,Destroyer,2018.0,"action,crime,drama",6.2,13683.0,9.523982546097495,17.815,2018-07-01,9000000.0,1533324.0,3681096.0,-0.5909893333333334,7.0,Jul,action
tt6003368,Diary of a Wimpy Kid: The Long Haul,Diary of a Wimpy Kid: The Long Haul,2017.0,"comedy,family",4.4,5635.0,8.636929873018572,10.839,2017-07-01,22000000.0,20738724.0,35609577.0,0.6186171363636364,7.0,Jul,comedy
tt1860213,Dirty Grandpa,Dirty Grandpa,2016.0,comedy,5.9,101393.0,11.526769196790879,11.432,2016-07-01,11500000.0,35593113.0,105078449.0,8.137256434782609,7.0,Jul,comedy
tt4056738,Do You Believe?,Do You Believe?,2015.0,drama,6.1,6462.0,8.773848885262895,5.599,2015-07-01,2300000.0,12985600.0,14304931.0,5.2195352173913045,7.0,Jul,drama
tt6960218,Do You Believe?,Do You Believe?,2017.0,"fantasy,horror",3.8,37.0,3.6375861597263857,5.599,2017-07-01,2300000.0,12985600.0,14304931.0,5.2195352173913045,7.0,Jul,fantasy
tt1211837,Doctor Strange,Doctor Strange,2016.0,"action,adventure,fantasy",7.5,514510.0,13.150972214008256,33.035,2016-07-01,165000000.0,232641920.0,676404566.0,3.099421612121212,7.0,Jul,action
tt3850214,Dope,Dope,2015.0,"comedy,crime,drama",7.2,76557.0,11.245803902483631,9.246,2015-07-01,7000000.0,17506470.0,18190831.0,1.598690142857143,7.0,Jul,comedy
tt1389072,Downsizing,Downsizing,2017.0,"drama,sci-fi",5.7,74815.0,11.22278704483174,10.682,2017-07-01,68000000.0,24449754.0,54462971.0,-0.19907395588235294,7.0,Jul,drama
tt7961060,Dragon Ball Super: Broly,Doragon bôru chô: Burorî,2018.0,"action,adventure,animation",8.0,16465.0,9.709052927858371,6.868,2018-07-01,8500000.0,30376755.0,122747755.0,13.440912352941176,7.0,Jul,action
tt1950135,Drunk Wedding,Drunk Wedding,2015.0,comedy,4.6,729.0,6.593044534142437,1.4,2015-07-01,600000.0,3301.0,3301.0,-0.9944983333333334,7.0,Jul,comedy
tt5013056,Dunkirk,Dunkirk,2017.0,"action,drama,history",7.9,466580.0,13.05318691763751,24.358,2017-07-01,150000000.0,190068280.0,499837368.0,2.33224912,7.0,Jul,action
tt4701724,Early Man,Early Man,2018.0,"adventure,animation,comedy",6.1,15882.0,9.673004633835156,16.675,2018-07-01,50000000.0,8267544.0,45285890.0,-0.0942822,7.0,Jul,adventure
tt1083452,Eddie the Eagle,Eddie the Eagle,2015.0,"biography,comedy,drama",7.4,75331.0,11.229660290314637,11.483,2015-07-01,23000000.0,15789389.0,45060480.0,0.9591513043478261,7.0,Jul,biography
tt7539088,Eden,Eden,2019.0,"crime,drama",8.0,11.0,2.4849066497880004,6.877,2019-07-01,2300000.0,0.0,0.0,-1.0,7.0,Jul,crime
tt9174880,Eden,Eden,2018.0,drama,6.7,20.0,3.044522437723423,6.877,2018-07-01,2300000.0,0.0,0.0,-1.0,7.0,Jul,drama
tt7014006,Eighth Grade,Eighth Grade,2018.0,"comedy,drama",7.5,43256.0,10.674914348974756,14.777,2018-07-01,2000000.0,13539710.0,14341016.0,6.170508,7.0,Jul,comedy
tt1674771,Entourage,Entourage,2015.0,comedy,6.6,71519.0,11.177732409847396,13.802,2015-07-01,30000000.0,32363404.0,46438538.0,0.5479512666666667,7.0,Jul,comedy
tt2719848,Everest,Everest,2015.0,"action,adventure,biography",7.1,181133.0,12.106992367829498,19.9,2015-07-01,65000000.0,43482270.0,221297061.0,2.404570169230769,7.0,Jul,action
tt5001718,"Everything, Everything","Everything, Everything",2017.0,"drama,romance",6.4,26811.0,10.196604827477849,13.998,2017-07-01,10000000.0,34121140.0,61603136.0,5.1603136,7.0,Jul,drama
tt4291590,Evolution,Évolution,2015.0,"drama,mystery,sci-fi",6.0,5266.0,8.569216219483389,4.208,2015-07-01,80000000.0,38311134.0,98341932.0,0.22927415,7.0,Jul,drama
tt1945044,Exeter,Exeter,2015.0,"horror,mystery,thriller",4.5,5156.0,8.548110294050959,5.934,2015-07-01,25000.0,0.0,489792.0,18.59168,7.0,Jul,horror
tt2057392,Eye in the Sky,Eye in the Sky,2015.0,"drama,thriller,war",7.3,72301.0,11.188607070281545,10.219,2015-07-01,13000000.0,18704596.0,35402802.0,1.7232924615384615,7.0,Jul,drama
tt8632862,Fahrenheit 11/9,Fahrenheit 11/9,2018.0,documentary,6.7,11628.0,9.361257257293044,10.003,2018-07-01,5000000.0,6352306.0,6653715.0,0.330743,7.0,Jul,documentary
